timestamp,intensity_g_per_kwh
2026-05-19T00:00:00,700.00
2026-05-19T00:05:00,699.94
2026-05-19T00:10:00,699.76
2026-05-19T00:15:00,699.46
2026-05-19T00:20:00,699.05
2026-05-19T00:25:00,698.51
2026-05-19T00:30:00,697.86
2026-05-19T00:35:00,697.09
2026-05-19T00:40:00,696.20
2026-05-19T00:45:00,695.20
2026-05-19T00:50:00,694.07
2026-05-19T00:55:00,692.84
2026-05-19T01:00:00,691.48
2026-05-19T01:05:00,690.01
2026-05-19T01:10:00,688.43
2026-05-19T01:15:00,686.73
2026-05-19T01:20:00,684.92
2026-05-19T01:25:00,683.00
2026-05-19T01:30:00,680.97
2026-05-19T01:35:00,678.83
2026-05-19T01:40:00,676.58
2026-05-19T01:45:00,674.22
2026-05-19T01:50:00,671.75
2026-05-19T01:55:00,669.18
2026-05-19T02:00:00,666.51
2026-05-19T02:05:00,663.73
2026-05-19T02:10:00,660.85
2026-05-19T02:15:00,657.87
2026-05-19T02:20:00,654.79
2026-05-19T02:25:00,651.61
2026-05-19T02:30:00,648.34
2026-05-19T02:35:00,644.97
2026-05-19T02:40:00,641.51
2026-05-19T02:45:00,637.96
2026-05-19T02:50:00,634.32
2026-05-19T02:55:00,630.59
2026-05-19T03:00:00,626.78
2026-05-19T03:05:00,622.88
2026-05-19T03:10:00,618.90
2026-05-19T03:15:00,614.84
2026-05-19T03:20:00,610.70
2026-05-19T03:25:00,606.48
2026-05-19T03:30:00,602.19
2026-05-19T03:35:00,597.83
2026-05-19T03:40:00,593.39
2026-05-19T03:45:00,588.89
2026-05-19T03:50:00,584.32
2026-05-19T03:55:00,579.69
2026-05-19T04:00:00,575.00
2026-05-19T04:05:00,570.25
2026-05-19T04:10:00,565.44
2026-05-19T04:15:00,560.57
2026-05-19T04:20:00,555.65
2026-05-19T04:25:00,550.69
2026-05-19T04:30:00,545.67
2026-05-19T04:35:00,540.61
2026-05-19T04:40:00,535.51
